species_id;GBIF_species_id;GBIF_species_name;GBIF_genus_name;GBIF_family_name;GBIF_kingdom_name
46;3105782;Sonchus asper;Sonchus;Asteraceae;Plantae
47;5938224;Fuchsia magellanica;Fuchsia;Onagraceae;Plantae
48;7821030;Polygonum aviculare;Polygonum;Polygonaceae;Plantae
49;5361944;Broussonetia papyrifera;Broussonetia;Moraceae;Plantae
50;2932184;Solanum sisymbriifolium;Solanum;Solanaceae;Plantae
51;5295911;Paris quadrifolia;Paris;Melanthiaceae;Plantae
52;5331181;Viola odorata;Viola;Violaceae;Plantae
53;2872695;Anthurium andraeanum;Anthurium;Araceae;Plantae
54;3152614;Abutilon theophrasti;Abutilon;Malvaceae;Plantae
55;2930137;Solanum lycopersicum;Solanum;Solanaceae;Plantae
56;3033263;Anemone nemorosa;Anemone;Ranunculaceae;Plantae
57;3190129;Citrus trifoliata;Citrus;Rutaceae;Plantae
58;2927230;Stachys byzantina;Stachys;Lamiaceae;Plantae
59;7102937;Euonymus japonicus;Euonymus;Celastraceae;Plantae
60;2888859;Muehlenbeckia complexa;Muehlenbeckia;Polygonaceae;Plantae
61;2755063;Dioscorea communis;Dioscorea;Dioscoreaceae;Plantae
62;7828157;Petroselinum crispum;Petroselinum;Apiaceae;Plantae
63;5361930;Ficus pumila;Ficus;Moraceae;Plantae
64;5367273;Potentilla reptans;Potentilla;Rosaceae;Plantae
65;3170040;Gentiana lutea;Gentiana;Gentianaceae;Plantae
66;3109086;Senecio inaequidens;Senecio;Asteraceae;Plantae
67;2985682;Aeonium arboreum;Aeonium;Crassulaceae;Plantae
68;3190538;Rhus typhina;Rhus;Anacardiaceae;Plantae
69;5371473;Actaea spicata;Actaea;Ranunculaceae;Plantae
70;3033339;Ranunculus repens;Ranunculus;Ranunculaceae;Plantae
71;8208358;Plantago lanceolata;Plantago;Plantaginaceae;Plantae
72;9488226;Iris jacquinii;Iris;Iridaceae;Plantae
73;7874883;Veronica chamaedrys;Veronica;Plantaginaceae;Plantae
74;2928726;Fabiana imbricata;Fabiana;Solanaceae;Plantae
75;3638282;Orlaya grandiflora;Orlaya;Apiaceae;Plantae
76;9063248;Galium verum;Galium;Rubiaceae;Plantae
77;5361909;Ficus carica;Ficus;Moraceae;Plantae
78;2874027;Cistus salviifolius;Cistus;Cistaceae;Plantae
79;2760967;Heliconia rostrata;Heliconia;Heliconiaceae;Plantae
80;5421144;Dodonaea viscosa;Dodonaea;Sapindaceae;Plantae
81;3082279;Ceratostigma plumbaginoides;Ceratostigma;Plumbaginaceae;Plantae
82;2849427;Orchis mascula;Orchis;Orchidaceae;Plantae
83;2959443;Gleditsia triacanthos;Gleditsia;Fabaceae;Plantae
84;3170115;Gentiana cruciata;Gentiana;Gentianaceae;Plantae
85;2926130;Pentaglottis sempervirens;Pentaglottis;Boraginaceae;Plantae
86;3085440;Cerastium glomeratum;Cerastium;Caryophyllaceae;Plantae
87;3067157;Euphorbia milii;Euphorbia;Euphorbiaceae;Plantae
88;3034922;Foeniculum vulgare;Foeniculum;Apiaceae;Plantae
89;3032762;Saxifraga stolonifera;Saxifraga;Saxifragaceae;Plantae
90;3085038;Iresine diffusa;Iresine;Amaranthaceae;Plantae
91;7424655;Fremontodendron californicum;Fremontodendron;Malvaceae;Plantae
92;9605163;Magnolia grandiflora;Magnolia;Magnoliaceae;Plantae
93;8149099;Chenopodiastrum murale;Chenopodiastrum;Amaranthaceae;Plantae
94;5341246;Mertensia maritima;Mertensia;Boraginaceae;Plantae
95;2888615;Viburnum lantana;Viburnum;Adoxaceae;Plantae
96;2860409;Leucojum vernum;Leucojum;Amaryllidaceae;Plantae
97;3189636;Camellia japonica;Camellia;Theaceae;Plantae
98;3169836;Allamanda cathartica;Allamanda;Apocynaceae;Plantae
99;5372952;Salix caprea;Salix;Salicaceae;Plantae
100;3190171;Citrus limon;Citrus;Rutaceae;Plantae
101;5371685;Caltha palustris;Caltha;Ranunculaceae;Plantae
102;3171947;Verbascum lychnitis;Verbascum;Scrophulariaceae;Plantae
103;2859597;Ipheion uniflorum;Ipheion;Amaryllidaceae;Plantae
104;2879098;Quercus ilex;Quercus;Fagaceae;Plantae
105;3026162;Cotoneaster franchetii;Cotoneaster;Rosaceae;Plantae
106;6109611;Amaranthus caudatus;Amaranthus;Amaranthaceae;Plantae
107;3034046;Persea americana;Persea;Lauraceae;Plantae
108;5373358;Lobularia maritima;Lobularia;Brassicaceae;Plantae
109;3188924;Oenothera biennis;Oenothera;Onagraceae;Plantae
110;5383983;Schlumbergera truncata;Schlumbergera;Cactaceae;Plantae
111;2911624;Nertera granadensis;Nertera;Rubiaceae;Plantae
112;2740024;Gloriosa superba;Gloriosa;Colchicaceae;Plantae
113;7331741;Melampyrum arvense;Melampyrum;Orobanchaceae;Plantae
114;3172358;Fraxinus excelsior;Fraxinus;Oleaceae;Plantae
115;7613490;Campsis radicans;Campsis;Bignoniaceae;Plantae
116;5384031;Epiphyllum oxypetalum;Epiphyllum;Cactaceae;Plantae
117;2702792;Briza maxima;Briza;Poaceae;Plantae
118;3189863;Acer campestre;Acer;Sapindaceae;Plantae
119;4048802;Linum narbonense;Linum;Linaceae;Plantae
120;6411750;Salvia leucantha;Salvia;Lamiaceae;Plantae
121;3921611;Clematis flammula;Clematis;Ranunculaceae;Plantae
122;3082263;Cornus mas;Cornus;Cornaceae;Plantae
123;2927303;Lavandula stoechas;Lavandula;Lamiaceae;Plantae
124;5355395;Spartium junceum;Spartium;Fabaceae;Plantae
125;3190653;Ailanthus altissima;Ailanthus;Simaroubaceae;Plantae
126;5414601;Russelia equisetiformis;Russelia;Plantaginaceae;Plantae
127;3189172;Epilobium hirsutum;Epilobium;Onagraceae;Plantae
128;2951984;Ulex europaeus;Ulex;Fabaceae;Plantae
129;3152820;Platanus occidentalis;Platanus;Platanaceae;Plantae
130;2767189;Prospero autumnale;Prospero;Asparagaceae;Plantae
131;8351737;Hedera helix;Hedera;Araliaceae;Plantae
132;3185393;Metrosideros excelsa;Metrosideros;Myrtaceae;Plantae
133;3105375;Carlina hispanica;Carlina;Asteraceae;Plantae
134;2704922;Festuca rubra;Festuca;Poaceae;Plantae
135;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae
136;2867866;Syngonium podophyllum;Syngonium;Araceae;Plantae
137;2995209;Rubus caesius;Rubus;Rosaceae;Plantae
138;5290052;Zea mays;Zea;Poaceae;Plantae
139;3189767;Plantago major;Plantago;Plantaginaceae;Plantae
140;8252683;Crataegus laevigata;Crataegus;Rosaceae;Plantae
141;2778457;Asphodelus albus;Asphodelus;Asphodelaceae;Plantae
142;3176283;Eucalyptus gunnii;Eucalyptus;Myrtaceae;Plantae
143;2878826;Quercus pyrenaica;Quercus;Fagaceae;Plantae
144;8207244;Gentiana purpurea;Gentiana;Gentianaceae;Plantae
145;7275851;Chimonanthus praecox;Chimonanthus;Calycanthaceae;Plantae
146;8405971;Escallonia rubra;Escallonia;Escalloniaceae;Plantae
147;3034426;Eryngium campestre;Eryngium;Apiaceae;Plantae
148;2769172;Leopoldia comosa;Leopoldia;Asparagaceae;Plantae
149;8184143;Zinnia elegans;Zinnia;Asteraceae;Plantae
150;5391480;Calendula officinalis;Calendula;Asteraceae;Plantae
151;6391648;Persicaria amphibia;Persicaria;Polygonaceae;Plantae
152;2891770;Impatiens glandulifera;Impatiens;Balsaminaceae;Plantae
153;2840590;Gymnadenia nigra;Gymnadenia;Orchidaceae;Plantae
154;7262958;Acer monspessulanum;Acer;Sapindaceae;Plantae
155;8108066;Asplenium trichomanes;Asplenium;Aspleniaceae;Plantae
156;2858244;Narcissus pseudonarcissus;Narcissus;Amaryllidaceae;Plantae
157;3152379;Malva moschata;Malva;Malvaceae;Plantae
158;5353590;Cercis siliquastrum;Cercis;Fabaceae;Plantae
159;2849624;Orchis anthropophora;Orchis;Orchidaceae;Plantae
160;3169830;Catharanthus roseus;Catharanthus;Apocynaceae;Plantae
161;3188698;Cuphea hyssopifolia;Cuphea;Lythraceae;Plantae
162;2986097;Ribes rubrum;Ribes;Grossulariaceae;Plantae
163;3172261;Jasminum officinale;Jasminum;Oleaceae;Plantae
164;5334278;Abelia grandiflora;Linnaea;Caprifoliaceae;Plantae
165;2926612;Origanum vulgare;Origanum;Lamiaceae;Plantae
166;3191402;Polygala myrtifolia;Polygala;Polygalaceae;Plantae
167;3095609;Pulicaria dysenterica;Pulicaria;Asteraceae;Plantae
168;2988069;Filipendula vulgaris;Filipendula;Rosaceae;Plantae
169;3738544;Lathraea clandestina;Lathraea;Orobanchaceae;Plantae
170;5333410;Erica arborea;Erica;Ericaceae;Plantae
171;2856037;Allium ampeloprasum;Allium;Amaryllidaceae;Plantae
172;7307319;Clinopodium alpinum;Clinopodium;Lamiaceae;Plantae
173;8002952;Ambrosia artemisiifolia;Ambrosia;Asteraceae;Plantae
174;2965527;Medicago arabica;Medicago;Fabaceae;Plantae
175;7282762;Gymnocalycium mihanovichii;Gymnocalycium;Cactaceae;Plantae
176;3169120;Euonymus alatus;Euonymus;Celastraceae;Plantae
177;3034915;Astrantia major;Astrantia;Apiaceae;Plantae
178;5414976;Bellardia trixago;Bellardia;Orobanchaceae;Plantae
179;6366886;Blackstonia perfoliata;Blackstonia;Gentianaceae;Plantae
180;3021496;Prunus laurocerasus;Prunus;Rosaceae;Plantae
181;8377689;Primula veris;Primula;Primulaceae;Plantae
182;5304583;Dracaena fragrans;Dracaena;Asparagaceae;Plantae
183;2882482;Calluna vulgaris;Calluna;Ericaceae;Plantae
184;7734774;Linum campanulatum;Linum;Linaceae;Plantae
185;5334240;Lonicera japonica;Lonicera;Caprifoliaceae;Plantae
186;7782336;Matthiola sinuata;Matthiola;Brassicaceae;Plantae
187;8105693;Melittis melissophyllum;Melittis;Lamiaceae;Plantae
188;5376309;Diplotaxis erucoides;Diplotaxis;Brassicaceae;Plantae
189;5390618;Cota tinctoria;Cota;Asteraceae;Plantae
190;3845298;Melianthus major;Melianthus;Melianthaceae;Plantae
191;5371742;Anthriscus sylvestris;Anthriscus;Apiaceae;Plantae
192;3188725;Lagerstroemia indica;Lagerstroemia;Lythraceae;Plantae
193;5300535;Fritillaria meleagris;Fritillaria;Liliaceae;Plantae
194;3189486;Hypericum perforatum;Hypericum;Hypericaceae;Plantae
195;2926901;Teucrium scorodonia;Teucrium;Lamiaceae;Plantae
196;3065239;Euphorbia amygdaloides;Euphorbia;Euphorbiaceae;Plantae
197;3140490;Lactuca serriola;Lactuca;Asteraceae;Plantae
198;3085420;Dianthus caryophyllus;Dianthus;Caryophyllaceae;Plantae
199;5408269;Lobelia cardinalis;Lobelia;Campanulaceae;Plantae
200;5376961;Lepidium draba;Lepidium;Brassicaceae;Plantae
201;5284884;Picea abies;Picea;Pinaceae;Plantae
202;3039491;Rhamnus cathartica;Rhamnus;Rhamnaceae;Plantae
203;3152374;Malva sylvestris;Malva;Malvaceae;Plantae
204;3031774;Mespilus germanica;Mespilus;Rosaceae;Plantae
205;5369652;Geum urbanum;Geum;Rosaceae;Plantae
206;8366345;Jasione montana;Jasione;Campanulaceae;Plantae
207;2888625;Viburnum rhytidophyllum;Viburnum;Adoxaceae;Plantae
208;6363863;Arenaria montana;Arenaria;Caryophyllaceae;Plantae
209;2857601;Allium ursinum;Allium;Amaryllidaceae;Plantae
210;3172057;Veronica serpyllifolia;Veronica;Plantaginaceae;Plantae
211;3039269;Elaeagnus angustifolia;Elaeagnus;Elaeagnaceae;Plantae
212;6026828;Thapsia villosa;Thapsia;Apiaceae;Plantae
213;3066386;Euphorbia peplus;Euphorbia;Euphorbiaceae;Plantae
214;5334247;Lonicera etrusca;Lonicera;Caprifoliaceae;Plantae
215;3172077;Veronica persica;Veronica;Plantaginaceae;Plantae
216;3033077;Aucuba japonica;Aucuba;Garryaceae;Plantae
217;6375040;Helleborus foetidus;Helleborus;Ranunculaceae;Plantae
218;6446462;Solidago virgaurea;Solidago;Asteraceae;Plantae
219;2964025;Lupinus angustifolius;Lupinus;Fabaceae;Plantae
220;2684709;Juniperus communis;Juniperus;Cupressaceae;Plantae
221;3020871;Prunus lusitanica;Prunus;Rosaceae;Plantae
222;4063960;Aegonychon purpurocaeruleum;Aegonychon;Boraginaceae;Plantae
223;2926557;Glechoma hederacea;Glechoma;Lamiaceae;Plantae
224;5358748;Trifolium repens;Trifolium;Fabaceae;Plantae
225;2926906;Leonotis leonurus;Leonotis;Lamiaceae;Plantae
226;3093539;Osteospermum ecklonis;Osteospermum;Asteraceae;Plantae
227;2925655;Duranta erecta;Duranta;Verbenaceae;Plantae
228;3082234;Cornus sanguinea;Cornus;Cornaceae;Plantae
229;5421180;Koelreuteria paniculata;Koelreuteria;Sapindaceae;Plantae
230;2874717;Begonia cucullata;Begonia;Begoniaceae;Plantae
231;8993502;Silene italica;Silene;Caryophyllaceae;Plantae
232;5290177;Lagurus ovatus;Lagurus;Poaceae;Plantae
233;5361785;Myriophyllum aquaticum;Myriophyllum;Haloragaceae;Plantae
234;5334190;Glaucium flavum;Glaucium;Papaveraceae;Plantae
235;3146888;Erigeron glaucus;Erigeron;Asteraceae;Plantae
236;3189132;Epilobium canum;Epilobium;Onagraceae;Plantae
237;2876607;Alnus cordata;Alnus;Betulaceae;Plantae
238;7334731;Graptopetalum paraguayense;Graptopetalum;Crassulaceae;Plantae
239;2882316;Fagus sylvatica;Fagus;Fagaceae;Plantae
240;5300716;Fritillaria imperialis;Fritillaria;Liliaceae;Plantae
241;3093911;Hypochaeris glabra;Hypochaeris;Asteraceae;Plantae
242;3022789;Prunus mahaleb;Prunus;Rosaceae;Plantae
243;7995177;Atocion armeria;Atocion;Caryophyllaceae;Plantae
244;2705290;Avena sativa;Avena;Poaceae;Plantae
245;5362215;Cydonia oblonga;Cydonia;Rosaceae;Plantae
246;2926679;Lamium amplexicaule;Lamium;Lamiaceae;Plantae
247;3172086;Veronica anagallis-aquatica;Veronica;Plantaginaceae;Plantae
248;7325947;Phillyrea angustifolia;Phillyrea;Oleaceae;Plantae
249;2650669;Asplenium scolopendrium;Asplenium;Aspleniaceae;Plantae
250;5567694;Bergenia crassifolia;Bergenia;Saxifragaceae;Plantae
251;2792998;Ophrys apifera;Ophrys;Orchidaceae;Plantae
252;5385604;Antennaria dioica;Antennaria;Asteraceae;Plantae
253;3082283;Plumbago auriculata;Plumbago;Plumbaginaceae;Plantae
254;2890920;Geranium sanguineum;Geranium;Geraniaceae;Plantae
255;3054368;Juglans regia;Juglans;Juglandaceae;Plantae
256;3169756;Nerium oleander;Nerium;Apocynaceae;Plantae
257;5384754;Silene acaulis;Silene;Caryophyllaceae;Plantae
258;3129663;Baccharis halimifolia;Baccharis;Asteraceae;Plantae
259;2889011;Rumex obtusifolius;Rumex;Polygonaceae;Plantae
260;2879175;Quercus coccifera;Quercus;Fagaceae;Plantae
261;9220780;Crataegus monogyna;Crataegus;Rosaceae;Plantae
262;3169340;Lysimachia punctata;Lysimachia;Primulaceae;Plantae
263;3170442;Araujia sericifera;Araujia;Apocynaceae;Plantae
264;6109534;Amaranthus retroflexus;Amaranthus;Amaranthaceae;Plantae
265;2855338;Galanthus plicatus;Galanthus;Amaryllidaceae;Plantae
266;3040983;Raphanus raphanistrum;Raphanus;Brassicaceae;Plantae
267;3680996;Ipomoea lobata;Ipomoea;Convolvulaceae;Plantae
268;2742119;Veratrum album;Veratrum;Melanthiaceae;Plantae
269;3188794;Circaea lutetiana;Circaea;Onagraceae;Plantae
270;2874199;Passiflora caerulea;Passiflora;Passifloraceae;Plantae
271;2747084;Freesia refracta;Freesia;Iridaceae;Plantae
272;5361969;Cotyledon orbiculata;Cotyledon;Crassulaceae;Plantae
273;2739769;Colchicum lusitanum;Colchicum;Colchicaceae;Plantae
274;8087525;Centaurea scabiosa;Centaurea;Asteraceae;Plantae
275;5347702;Genista sagittalis;Genista;Fabaceae;Plantae
276;5330661;Arum italicum;Arum;Araceae;Plantae
277;3085360;Saponaria officinalis;Saponaria;Caryophyllaceae;Plantae
278;3152583;Hibiscus syriacus;Hibiscus;Malvaceae;Plantae
279;2891772;Impatiens walleriana;Impatiens;Balsaminaceae;Plantae
280;2927177;Mentha longifolia;Mentha;Lamiaceae;Plantae
281;7467639;Ficus microcarpa;Ficus;Moraceae;Plantae
282;2890040;Geranium dissectum;Geranium;Geraniaceae;Plantae
283;3084700;Portulaca grandiflora;Portulaca;Portulacaceae;Plantae
284;5334268;Lonicera fragrantissima;Lonicera;Caprifoliaceae;Plantae
285;7301010;Sixalix atropurpurea;Sixalix;Caprifoliaceae;Plantae
286;3039046;Fatsia japonica;Fatsia;Araliaceae;Plantae
287;2891608;Pelargonium graveolens;Pelargonium;Geraniaceae;Plantae
288;3085357;Saponaria ocymoides;Saponaria;Caryophyllaceae;Plantae
289;7736011;Claytonia perfoliata;Claytonia;Montiaceae;Plantae
290;5362007;Sedum acre;Sedum;Crassulaceae;Plantae
291;3638793;Bupleurum fruticosum;Bupleurum;Apiaceae;Plantae
292;5361841;Pilea microphylla;Pilea;Urticaceae;Plantae
293;8427624;Oxalis corniculata;Oxalis;Oxalidaceae;Plantae
294;2985944;Kalanchoe blossfeldiana;Kalanchoe;Crassulaceae;Plantae
295;5332305;Ostrya carpinifolia;Ostrya;Betulaceae;Plantae
296;3088761;Limbarda crithmoides;Limbarda;Asteraceae;Plantae
297;3098912;Cosmos bipinnatus;Cosmos;Asteraceae;Plantae
298;2925496;Verbena rigida;Verbena;Verbenaceae;Plantae
299;8207952;Matthiola incana;Matthiola;Brassicaceae;Plantae
300;2706164;Holcus lanatus;Holcus;Poaceae;Plantae
301;4051746;Polygaloides chamaebuxus;Polygaloides;Polygalaceae;Plantae
302;3120333;Achillea ptarmica;Achillea;Asteraceae;Plantae
303;7558421;Symphytum officinale;Symphytum;Boraginaceae;Plantae
304;7886346;Hordeum murinum;Hordeum;Poaceae;Plantae
305;2931714;Solanum laxum;Solanum;Solanaceae;Plantae
306;5341754;Nicandra physalodes;Nicandra;Solanaceae;Plantae
307;5582546;Salix atrocinerea;Salix;Salicaceae;Plantae
308;3117424;Bellis perennis;Bellis;Asteraceae;Plantae
309;2816176;Neottia nidus-avis;Neottia;Orchidaceae;Plantae
310;5359378;Trifolium incarnatum;Trifolium;Fabaceae;Plantae
311;8313153;Quercus palustris;Quercus;Fagaceae;Plantae
312;7308026;Orthosiphon aristatus;Orthosiphon;Lamiaceae;Plantae
313;3033289;Trollius europaeus;Trollius;Ranunculaceae;Plantae
314;7883492;Hedychium coronarium;Hedychium;Zingiberaceae;Plantae
315;2928441;Calystegia sepium;Calystegia;Convolvulaceae;Plantae
316;3147168;Erigeron karvinskianus;Erigeron;Asteraceae;Plantae
317;2985986;Hydrangea arborescens;Hydrangea;Hydrangeaceae;Plantae
318;3026035;Cotoneaster coriaceus;Cotoneaster;Rosaceae;Plantae
319;5372639;Salix babylonica;Salix;Salicaceae;Plantae
320;5331916;Betula pendula;Betula;Betulaceae;Plantae
321;5384738;Silene flos-cuculi;Silene;Caryophyllaceae;Plantae
322;2704179;Poa annua;Poa;Poaceae;Plantae
323;2875979;Corylus avellana;Corylus;Betulaceae;Plantae
324;2768885;Asparagus officinalis;Asparagus;Asparagaceae;Plantae
325;5341129;Callicarpa americana;Callicarpa;Lamiaceae;Plantae
326;5405976;Arnica montana;Arnica;Asteraceae;Plantae
327;2768995;Asparagus acutifolius;Asparagus;Asparagaceae;Plantae
328;5409933;Campanula glomerata;Campanula;Campanulaceae;Plantae
329;2805322;Spiranthes spiralis;Spiranthes;Orchidaceae;Plantae
330;8011540;Potentilla argentea;Potentilla;Rosaceae;Plantae
331;2883073;Rhododendron ferrugineum;Rhododendron;Ericaceae;Plantae
332;2888995;Rumex acetosella;Rumex;Polygonaceae;Plantae
333;2985965;Deutzia scabra;Deutzia;Hydrangeaceae;Plantae
334;2854755;Agapanthus praecox;Agapanthus;Amaryllidaceae;Plantae
335;3105419;Carlina acanthifolia;Carlina;Asteraceae;Plantae
336;2958650;Caesalpinia gilliesii;Erythrostemon;Fabaceae;Plantae
337;8184903;Lysimachia arvensis;Lysimachia;Primulaceae;Plantae
338;2986045;Philadelphus coronarius;Philadelphus;Hydrangeaceae;Plantae
339;7845022;Gymnadenia conopsea;Gymnadenia;Orchidaceae;Plantae
340;2684191;Taxodium distichum;Taxodium;Cupressaceae;Plantae
341;2888778;Valerianella locusta;Valerianella;Caprifoliaceae;Plantae
342;7523753;Symphoricarpos albus;Symphoricarpos;Caprifoliaceae;Plantae
343;2928774;Nicotiana tabacum;Nicotiana;Solanaceae;Plantae
344;3069353;Euphorbia tirucalli;Euphorbia;Euphorbiaceae;Plantae
345;3067602;Euphorbia corsica;Euphorbia;Euphorbiaceae;Plantae
346;3146791;Erigeron canadensis;Erigeron;Asteraceae;Plantae
347;4201607;Phedimus spurius;Phedimus;Crassulaceae;Plantae
348;5296432;Sisyrinchium striatum;Sisyrinchium;Iridaceae;Plantae
349;2687937;Equisetum fluviatile;Equisetum;Equisetaceae;Plantae
350;9558260;Lonicera implexa;Lonicera;Caprifoliaceae;Plantae
351;2771287;Hosta plantaginea;Hosta;Asparagaceae;Plantae
352;3033107;Helleborus niger;Helleborus;Ranunculaceae;Plantae
353;5367246;Argentina anserina;Argentina;Rosaceae;Plantae
354;3134867;Catananche caerulea;Catananche;Asteraceae;Plantae
355;3084719;Portulaca oleracea;Portulaca;Portulacaceae;Plantae
356;2889304;Persicaria capitata;Persicaria;Polygonaceae;Plantae
357;2761337;Maranta leuconeura;Maranta;Marantaceae;Plantae
358;5411920;Campanula rapunculus;Campanula;Campanulaceae;Plantae
359;5364029;Photinia serratifolia;Photinia;Rosaceae;Plantae
360;9023462;Centaurea montana;Centaurea;Asteraceae;Plantae
361;3134857;Lapsana communis;Lapsana;Asteraceae;Plantae
362;9376410;Delosperma cooperi;Delosperma;Aizoaceae;Plantae
363;5414222;Ilex aquifolium;Ilex;Aquifoliaceae;Plantae
364;3042845;Brassica oleracea;Brassica;Brassicaceae;Plantae
365;3935079;Malva arborea;Malva;Malvaceae;Plantae
366;3046076;Cardamine flexuosa;Cardamine;Brassicaceae;Plantae
367;7847528;Carduus carlinoides;Carduus;Asteraceae;Plantae
368;3070106;Euphorbia cyparissias;Euphorbia;Euphorbiaceae;Plantae
369;6438085;Cistus creticus;Cistus;Cistaceae;Plantae
370;8231647;Dactylorhiza sambucina;Dactylorhiza;Orchidaceae;Plantae
371;2952882;Bituminaria bituminosa;Bituminaria;Fabaceae;Plantae
372;2927000;Salvia sclarea;Salvia;Lamiaceae;Plantae
373;3181762;Leptospermum scoparium;Leptospermum;Myrtaceae;Plantae
374;2795869;Cephalanthera longifolia;Cephalanthera;Orchidaceae;Plantae
375;2928751;Datura stramonium;Datura;Solanaceae;Plantae
376;8400876;Dianthus carthusianorum;Dianthus;Caryophyllaceae;Plantae
377;3039193;Parthenocissus vitacea;Parthenocissus;Vitaceae;Plantae
378;3033757;Delphinium elatum;Delphinium;Ranunculaceae;Plantae
379;5284702;Cedrus atlantica;Cedrus;Pinaceae;Plantae
380;8677924;Pittosporum tobira;Pittosporum;Pittosporaceae;Plantae
381;3190522;Cotinus coggygria;Cotinus;Anacardiaceae;Plantae
382;3104491;Argyranthemum frutescens;Argyranthemum;Asteraceae;Plantae
383;5284698;Cedrus deodara;Cedrus;Pinaceae;Plantae
384;2874508;Cucurbita pepo;Cucurbita;Cucurbitaceae;Plantae
385;6437976;Cistus ladanifer;Cistus;Cistaceae;Plantae
386;2716311;Cyperus papyrus;Cyperus;Cyperaceae;Plantae
387;7267309;Silene baccifera;Silene;Caryophyllaceae;Plantae
388;5392950;Echinops ritro;Echinops;Asteraceae;Plantae
389;3084015;Phytolacca americana;Phytolacca;Phytolaccaceae;Plantae
390;2705308;Dactylis glomerata;Dactylis;Poaceae;Plantae
391;5421039;Ludwigia grandiflora;Ludwigia;Onagraceae;Plantae
392;3188507;Medinilla magnifica;Medinilla;Melastomataceae;Plantae
393;3042636;Brassica napus;Brassica;Brassicaceae;Plantae
394;3172499;Jacaranda mimosifolia;Jacaranda;Bignoniaceae;Plantae
395;2930262;Solanum tuberosum;Solanum;Solanaceae;Plantae
396;3152861;Liriodendron tulipifera;Liriodendron;Magnoliaceae;Plantae
397;5420901;Punica granatum;Punica;Lythraceae;Plantae
398;3021730;Prunus cerasifera;Prunus;Rosaceae;Plantae
399;2856457;Allium triquetrum;Allium;Amaryllidaceae;Plantae
400;5415463;Thunbergia alata;Thunbergia;Acanthaceae;Plantae
